CC(=O)OC(CC(=O)[O-])C[N+](C)(C)C
C1=NC2=C(C(=N1)N)N=CN2C3C(C(C(O3)COP(=O)(O)O)OP(=O)(O)O)O
C(CN)C=O
CC12CCC3C(C1CCC2=O)CC=C4C3(CCC(C4)O)C
CC(C)C(CC(=O)O)(C(=O)O)O
C(C(C(=O)O)N)Cl
C1=CC(=CN=C1)C#N
C1C(C(C(=O)C=C1C(=O)O)O)O
C(C(C(C(COP(=O)(O)O)O)O)O)C(=O)C(=O)O
C=C(C(=O)O)OC1CC(=CC(C1O)OP(=O)(O)O)C(=O)O
C[N+](C)(C)CC(CC(=O)O)O
C1=CC(=C(C(=C1)O)N)C(=O)O
CC(CO)C(=O)O
C1=CC(=C(C(=C1)O)N)C(=O)CC(C(=O)O)N
C1=CC(=CC(=C1)O)CCC(=O)O
COC1=CC2=C(C=CN=C2C=C1)C(C3CC4CCN3CC4(C=C)O)O
C(CC(=O)O)C(=O)CC(=O)O
C(C(C(C(=O)C(C(=O)O)O)O)O)O
CC(=O)CC(=O)O
C(C1C(C(C(C(O1)O)O)O)OC2C(C(=O)C(C(O2)CO)O)O)O
C(C(=O)C(=O)O)S
C1=CC(=CC(=C1)O)C=O
C1=CC(=CC(=C1)O)CO
C1C=C(OC1=O)CC(=O)O
C(C(=O)C(=O)O)OP(=O)(O)O
C(C(C(=O)O)N)OP(=O)(O)O
C1=CC=C(C=C1)CCC(=O)O
C1=CC(=CN=C1)CC(=O)O
C(C(C(=O)O)N)S(=O)O
C(C(=O)C(=O)O)S(=O)O
C(CNC(=O)N)C(=O)O
C(C(C(=O)C(=O)[O-])O)OP(=O)(O)O
C(C(C(=O)C(=O)O)O)OP(=O)(O)O
C1=CC(=CN=C1)CCCC(=O)O
C=C(C(=O)O)OC1C=C(C=CC1N)C(=O)O
C1=NC(=C(N1)C(=O)O)N
C(CC=O)CN
C(CC(=O)O)CN
C1=CC(=O)OC1=CC(=O)O
C(C(=O)CC(=O)O)C(=O)C=CC(=O)O
C(CC(=O)N)CN=C(N)N
CC(CC(=O)C(=O)O)O
C1=CC(=CC=C1CO)O
C1=CC(=CC=C1C=O)O
C1=CC(=CC=C1CC(=O)O)O
C1=NC(C(=O)N1)CCC(=O)O
CC(C)CCC=O
C(C(=O)C(=O)O)C(CC(=O)O)(C(=O)O)O
CC(C)(COP(=O)(O)O)C(C(=O)NCCC(=O)O)O
CC(C)(COP(=O)(O)O)C(C(=O)NCCC(=O)NC(CS)C(=O)O)O
C[N+](C)(C)CCCC=O
C[N+](C)(C)CCCC(=O)O
C1=CC(=CC=C1C(=O)O)O
C1C2CN(C=[N+]2C3=C(N1)NC(=NC3=O)N)C4=CC=C(C=C4)C(=O)NC(CCC(=O)O)C(=O)O
C(CC(=O)O)C(=O)CN
C(CCN)CC(=O)O
CC(C)CCCC(C)C1CCC2C1(C(CC3C2C(CC4C3(CCC(C4)O)C)O)O)C
CC(CCCC(C)C1CCC2C1(C(CC3C2C(CC4C3(CCC(C4)O)C)O)O)C)CO
CC1C(C(C(O1)N2C=NC3=C2N=CN=C3N)O)O
C1C(N(C2=C(N1)NC(=NC2=O)N)C=O)CNC3=CC=C(C=C3)C(=O)NC(CCC(=O)O)C(=O)O
C1=CC2=C(C=C1O)C(=CN2)CC(C(=O)O)N
C(C(C(C(=O)O)O)O)C(=O)C(=O)O
CSCC1C(C(C(O1)N2C=NC3=C2N=CN=C3N)O)O
C(C1C(C(C(O1)N)O)O)OP(=O)(O)O
C(C1C(C(C(O1)NC(=O)CNC=O)O)O)OP(=O)(O)O
C(C1C(C(C(O1)NC(=O)CN)O)O)OP(=O)(O)O
C1=C(N(C=N1)C2C(C(C(O2)COP(=O)(O)O)O)O)N
C(C1C(C(C(O1)N=C(CNC=O)N)O)O)OP(=O)(O)O
C1=NC(=C(N1)C(=O)O)NC(=O)N
C(C(=O)C(C(C(C(=O)O)O)O)O)O
CCCCCC(C=CC1C(CC(=O)C1CC=CCCCC(=O)O)O)O
CCCCCC(C=CC1C(CC2C1CC(=CCCCC(=O)O)O2)O)O
CCCCCC(C=CC1C(CC(C1CC=CCCCC(=O)O)O)O)O
CC1(C(N2C(S1)C(C2=O)N)C(=O)O)C
C(CC(=C[N+]#N)[O-])C(C(=O)O)N
C(CC(=C[N+]#N)O)C(C(=O)O)N
CC(=O)C(=O)C1CNC2C(N1)C(=O)NC(=N2)N
C1CN=C2C(=N1)C=NC=N2
C(C1C(C(C(C(O1)O)O)O)OC2C(C(C(C(O2)COP(=O)(O)O)O)O)O)O
CCCCCC=CCC(C=CC=CC=CC(CCCC(=O)O)O)O
C1C(=NC2=C(N1)NC(=NC2=O)N)CNC3=CC=C(C=C3)C(=O)O
C1=C(C2=C(N1)NC(=NC2=O)N)CN
CC(C)CCCC(C)C1CCC2C1(CCC3C2=CC=C4C3(CCC(C4)O)C)C
CC(C(=O)CCCCCC(=O)O)N
C(CO)O
CC(=O)[O-]
CC(=O)O
CC=O
CC(=O)N
CC(C(=O)C)O
CC(=O)C
CC(=O)NC1C(C(C(OC1NC(=O)CC(C(=O)O)N)CO)O)O
CC(=O)NC(CCC(=O)O)C(=O)O
CC(=O)OP(=O)(O)O
CC(=O)OCC[N+](C)(C)C
CC(=O)OC1C(C(C(C(O1)CO)OC2C(C(C(C(O2)CO)O)O)O)O)O
CC(=O)OCC(C(=O)O)N
C1=NC2=C(N1)C(=NC=N2)N
C1=NC2=C(C(=N1)N)N=CN2C3C(C(C(O3)CO)O)O
C1=NC2=C(C(=N1)N)N=CN2C3C(C(C(O3)CSCCC(C(=O)O)N)O)O
C1=NC2=C(C(=N1)NC(CC(=O)O)C(=O)O)N=CN2C3C(C(C(O3)COP(=O)(O)O)O)O
C(CCC(=O)O)CC(=O)O
C1=NC2=C(C(=N1)N)N=CN2C3C(C(C(O3)COP(=O)(O)OP(=O)(O)O)O)O
C(CCN=C(N)N)CN
C1=NC(=C(N1C2C(C(C(O2)COP(=O)(O)O)O)O)N)C(=O)N
C(C(=O)O)(NC(=O)N)NC(=O)N
C1(C(=O)NC(=O)N1)NC(=O)N
CC(C(C(=O)O)N)O
C(C1C(C(C(C(O1)O)O)O)O)O
C(CC=O)CC(C(=O)O)N
C(C1C(C(C(C(O1)O)O)O)O)OP(=O)(O)O
CC1=CC2=C(C=C1C)N(C=N2)C3C(C(C(O3)CO)O)O
CC1=CC2=C(C=C1C)N(C=N2)C3C(C(C(O3)COP(=O)(O)O)O)O
CCCCCC(C=CC1C(C2CC(O2)O1)CC=CCCCC(=O)O)O
CCCCCC(C=CC1C(CC(=O)C1CCCCCCC(=O)O)O)O
CC(=O)CN
CC1=NC=C(C(=N1)N)COP(=O)(O)O
CC1=NC=C(C(=N1)N)COP(=O)(O)OP(=O)(O)O
C1C(=NC2=C(N1)NC(=NC2=O)N)CO
CC(=O)C(C(=O)O)N
CCOP(=S)(OCC)OC1=CC=C(C=C1)N
C(C(C(C(CO)O)O)O)NC1=C(C(=O)NC(=O)N1)N
N
[NH4+]
C1=NC2=C(C(=N1)N)N=CN2C3C(C(C(O3)COP(=O)(O)O)O)O
CC12CCC(CC1CCC3C2CCC4(C3CCC4=O)C)O
C1=CC=C(C(=C1)C(=O)O)N
C1C(C(C(C(O1)O)O)O)O
C(C(C(C(C=O)O)O)O)OP(=O)(O)O
CCCCCC=CCC=CCC=CCC=CCCCC(=O)O
C(CC(C(=O)O)N)CN=C(N)N
O[As](=O)([O-])[O-]
C(C(C(=O)O)N)C(=O)N
CCN(CC)CCCC(C)NC1=C2C=C(C=CC2=NC3=C1C=CC(=C3)Cl)OC
C(CN)C(=O)O
C1=CC=C(C=C1)C=O
C1=CC=CC=C1
C1=CC=C(C=C1)C(=O)[O-]
C1=CC=C(C=C1)C(=O)O
C1=CC=C(C=C1)CO
CC(=O)NC1C(C(C(OC1O)CO)OC2C(C(C(C(O2)CO)O)O)O)O
C[N+](C)(C)CC(=O)[O-]
C[N+](C)(C)CC(=O)O
C[N+](C)(C)CC=O
CC(C(C1=NC2=C(NC1)NC(=NC2=O)N)O)O
C1C2C(C(S1)CCCCC(=O)O)NC(=O)N2
C1=CC=C(C=C1)C2=C(C(=CC=C2)O)O
C1=CC(=CC=C1[N+](=O)[O-])OP(=O)(O)OC2=CC=C(C=C2)[N+](=O)[O-]
CN(CCC(CC(=O)NC1C=CC(OC1C(=O)O)N2C=CC(=NC2=O)N)N)C(=N)N
Br
CCCC=O
CC(C(C)O)O
CCCCO
CCCC(=O)O
CCCC(=O)OP(=O)(O)O
C(CCN)CCN
C(CON=C(N)N)C(C(=O)O)N
C(=O)(N)[O-]
C(=O)(N)O
C(=O)(N)OP(=O)(O)O
C(C(C(=O)O)NC(=O)N)C(=O)O
[C-]#[O+]
C1=CC(C(C(=C1)CCC(=O)O)O)O
C(=O)O
C(C(=O)[O-])ON
C(C(=O)O)ON
C1=CC=C(C(=C1)C(=O)O)NCC(=O)C(C(COP(=O)(O)O)O)O
C[N+](C)(C)CC(CC(=O)[O-])O
C1=CC=C(C(=C1)O)O
C1=CN(C(=O)N=C1N)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)O)O)O
C1=CN(C(=O)N=C1N)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OCCN)O)O
C(C1C(C(C(C(O1)OC2C(OC(C(C2O)O)O)CO)O)O)O)O
C1C2C(C(C(O2)N3C=NC4=C3NC(=NC4=O)N)O)OP(=O)(O1)O
CC(C=O)C(=O)O
C
C1=CC(=CC=C1C(C(CO)NC(=O)C(Cl)Cl)O)[N+](=O)[O-]
C1(=O)C2(C3(C4(C1(C5(C2(C3(C(C45Cl)(Cl)Cl)Cl)Cl)Cl)Cl)Cl)Cl)Cl
C(C(=O)O)Cl
C1=CC(=C(C=C1O)Cl)O
CC(CCC(=O)O)C1CCC2C1(C(CC3C2C(CC4C3(CCC(C4)O)C)O)O)C
CC(C)CCCC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C
C[N+](C)(C)CCO
C=C(C(=O)O)OC1C=C(C=CC1O)C(=O)O
C1=CC=C(C=C1)C=CC=O
C1=CC=C(C=C1)C=CCO
C(C(=CC(=O)O)C(=O)O)C(=O)O
C(=CC(=O)O)C=CC(=O)O
C(C(=O)O)C(CC(=O)O)(C(=O)O)O
Cl
C1=CN(C(=O)N=C1N)C2C(C(C(O2)COP(=O)(O)O)O)O
C1C(C2=C(NC=N1)N(C=N2)C3C(C(C(O3)CO)O)O)O
C1=CC(=CC=C1C=CC(=O)O)O
C1=CC=C2C(=C1)C=CC(=O)O2
CC(C)C1=CC=C(C=C1)CO
CC(C)C1=CC=C(C=C1)C=O
C1=C(NC2=C1C(=O)C(=C3C2=C(C=C(N3)C(=O)O)C(=O)O)O)C(=O)O
C1=CC(=CC=C1C(C(=O)O)O)O
CSCC(C(C(=O)COP(=O)(O)O)O)O
CC(C)CCCC(C)C1CCC2C1(CCC3=C2CCC4C3(CCC(C4)O)C)C
CC(CC(CC(=O)O)N)N
COC1=C(C=CC(=C1)C=C)O
C(C(C(C(COP(=O)(O)O)O)O)O)NC1=C(C(=O)NC(=O)N1)N
CC(C)CCCC(C)C1CCC2C1(CCC3C2C(CC4=CC(=O)CCC34C)O)C
CC1=CC=CC=C1O
C(C(=O)O)(NC(=O)N)O
CC(=O)C(C(CO)O)O
C1=CC=C(C(=C1)C(=O)O)O
C(CP(=O)(O)O)N
CC1=C(C(=CC=C1)O)O
C1=C(C=C(C(=C1O)O)O)C(=O)OC2=CC(=CC(=C2O)O)C(=O)O
CC1=CC(=CC=C1)O
C1(C(C(C2C(C1O)OP(=O)(O2)O)O)O)O
C1C(C(C(C(=O)C1=O)O)O)O
CC(=C(CC(=O)O)C(=O)O)C(=O)O
C1=CC(=CC=C1O)OC2C(C(C(C(O2)CO)O)O)O
C1=CC(=CC(=C1)OC2C(C(C(C(O2)CO)O)O)O)CO
C1=CC(=CC=C1O)OC2C(C(C(C(O2)COP(=O)(O)O)O)O)O
C(C1C(C(=O)C(C(O1)O)O)O)O
CC(C(C(=O)O)NC(=O)CCCCCCS)OP(=O)(O)O
C(CC(=O)O)C=CC(=O)C(=O)O
C1=CC(=CC=C1C(=O)C(=O)O)O
CCCCCCCC
CC(CC(=O)CC(=O)O)N
C1=C(C=C(C=C1O)O)O
CCC(=CCCCC(C)CCOP(=O)(O)OC1C(C(C(C(O1)CO)O)O)O)C
C1C(CC(=O)C=C1O)O
C1=CC=C2C(C(C=CC2=C1)O)O
C(C=O)N
C(C(C(=O)O)N)N
CC1=CC(=O)OC2=C1C=CC(=C2)OC(=O)C
C(CCNCCCCN)CN
C1=C(C=C(C(=C1O)O)O)C(=O)O
C(#CC(=O)O)C(=O)O
C1=C(C=C(OC1=O)C(=O)O)C(=O)O
C(C(=CC(=O)C(=O)O)C(=O)O)C(=O)O
CC(=O)CC(CC(=O)O)O
C1=CC(=CC=C1[N+](=O)[O-])OP(=O)(O)O
CCCCCCCC(=O)O
CCCC(C(=O)O)NC(C)C(=O)O
C(CCC(=O)O)CCC(=O)O
C(CC(C(=O)O)N)CN
CCC(=CCCCC(C)CCOP(=O)(O)OP(=O)(O)O)C
C(CC(CC(=O)O)N)CN
C(C(C(C(=O)C(C(=O)O)O)O)O)OP(=O)(O)O
C1=CC=C2C(=C1)C(=CN2)CC(=O)N
CC(C)[N+](=O)[O-]
C(=CC(=O)O)C(=CC(=O)O)C(=O)O
C1=CC=C(C(=C1)C=O)NC=O
C1C(C(=O)NO1)N
S
C1=CC(=CC=C1N)O
C(CCNO)CC(C(=O)O)N
CC(C)CCCC(C)C1CCC2C1(CCC3C2C(C=C4C3(CCC(C4)O)C)O)C
CN1C(CCC1=O)C2=CN=CC=C2
C[N+]1(CCCC1C2=CN=CC=C2)[O-]
CN1CCCC1C2=C[N+](=CC=C2)C3C(C(C(C(O3)C(=O)O)O)O)O
CN1C(CCC1=O)C2=C[N+](=CC=C2)C3C(C(C(C(O3)C(=O)O)O)O)O
C1CC(NC1)C2=CN=CC=C2
C1CC(=O)NC1C2=CN=CC=C2
CN1C(CC(C1=O)O)C2=CN=CC=C2
CN1C(CC(C1=O)OC2C(C(C(C(O2)C(=O)O)O)O)O)C3=CN=CC=C3
C(=CC(=O)O)C(=CC(=O)O)Cl
C1=CC(C(C=C1)O)O
C(C(=O)C=CC(=O)O)C(=O)O
CC(C)CCCC(C)C1CCC2C1(CCC3C2=CCC4C3(CCC(C4)O)C)C
C(CCC(=O)O)CC(CCS)S
C(C(C(C(C(C(=O)O)O)O)O)O)OP(=O)(O)O
CC(=O)CC(C(=O)O)N
C(C(C(=O)O)N)C(=O)O
C1=CC(=CC=C1C=CC(=O)C2=C(C=C(C=C2)O)O)O
C(CC(C(=O)O)NC(CCC(=O)O)C(=O)O)CN=C(N)N
CC(C(=O)O)NC(CCCN=C(N)N)C(=O)O
C(CN)CN
CC1=CC2=C(C=C1C)N(C3=NC(=O)NC(=O)C3N2)CC(C(C(CO)O)O)O
CN1CCCC1C2=C[N+](=CC=C2)C
C[N+]1=CCCC1C2=CN=CC=C2
CN1CCCC1(C2=CN=CC=C2)O
C1CC(=O)N(C1C2=CN=CC=C2)CO
CNCCCC(=O)C1=CN=CC=C1
C1=CC(=CN=C1)C(=O)CCC(=O)N
CNC(=O)CCC(=O)C1=CN=CC=C1
C1=CC(=CN=C1)C(=O)CCC(=O)O
C1=CC(=CN=C1)C(CCC(=O)O)O
C1=CC(=CN=C1)C=CCC(=O)O
CC(C)CCCC(C)C1CCC2C1(CCC3C2CCC4=CC(=O)CCC34C)C
CC(CC(=O)O)O
C(C(C(C(C(=O)C(=O)O)O)O)O)OP(=O)(O)O
CC12CCC(=O)CC1CCC3C2CCC4(C3CCC4=O)C
CC(C(=O)C1=CC(=CC=C1)Cl)NC(C)(C)C
CC(C(C1=CC(=CC=C1)Cl)O)NC(C)(C)C
CC(C(=O)C1=CC(=CC=C1)Cl)NC(C)(C)CO
C1=CC(=CC(=C1)Cl)C(=O)O
C1=CC(=CC(=C1)Cl)C(=O)NCC(=O)O
CC(CCO)(CC(=O)O)O
CC12CCC3C(C1CCC2O)CCC4=C3C=CC(=C4)O
C1(C(C(C(=O)C(C1O)O)O)O)O
C(C(C(C(C(CO)O)O)O)O)O
CCCCCCCC=O
CC(C(=O)C1=NC2C(NC1)N=C(NC2=O)N)O
C(=O)(C(=O)O)NC(=O)N
C[N+]1=CC=CC(=C1)C(=O)N
C[S+](C)CCC(C(=O)O)N
C(C1C(=C(C2C(O1)NC3=C(N2)C(=O)N=C(N3)N)S)S)OP(=O)(O)O
COC1=CC=CC=C1O
CCCCCCCCCCCCCCCC(=O)OC(CC(=O)[O-])C[N+](C)(C)C
CCCCCCCCCCCCCCCC(=O)OC(CC(=O)O)C[N+](C)(C)C
C(CC(C(=O)O)NC(=O)CCC(=O)O)CN=C(N)N
C1=CC=C(C=C1)C(=O)NCC(=O)O
CSCC1C(C(C(O1)OP(=O)(O)O)O)O
C(C1C(C(C(C(O1)OP(=O)(O)O)O)O)O)O
C(CN)C(C(=O)O)N
C1=CC(=C(C=C1C2C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O
C1=CC=C(C(=C1)C(=O)CC(=O)C(=O)O)N
CSCCC(=O)C(=O)O
CN(C)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C2N=CN=C3N)O)O
CC1C(C(C(C(O1)OP(=O)(O)O)O)O)O
CC(CCOP(=O)(O)O)(CC(=O)O)O
CC(C)(CO)C(C(=O)NCCC(=O)NCCS)O
C(C(C(C(C(=O)COP(=O)(O)O)O)O)O)O
C(C1C(C(C(O1)(CO)OP(=O)(O)O)O)O)OP(=O)(O)O
C1=C(NC=N1)N
C[N+](C)(C)CCOS(=O)(=O)[O-]
C[N+](C)(C)CCOS(=O)(=O)O
CC(C(=O)O)C(=O)O
C(CC(=O)NC(CSC=O)C(=O)NCC(=O)O)C(C(=O)O)N
C(C=O)P(=O)(O)O
[O-]S(=O)(=O)SS(=O)(=O)[O-]
CSCC1C(C(C(O1)O)O)O
C(CSCC1C(C(C(O1)O)O)O)C(C(=O)O)N
CC(=O)NCCCNCCCCN
C1C2C(C(S1)CCCCC(=O)N)NC(=O)N2
C1CC(=O)NC1C(=O)O
C(CC(=O)O)CN=C(N)N
CN(C)C(=NCCCC(C(=O)O)N)N
C(CCNC(=O)N)CN
C(C(=O)NC(=O)N)N
C1C(=O)NC=N1
C(C1C(C(C(O1)NC2=C(C(=O)NC(=O)N2)N)O)O)OP(=O)(O)O
C1=CN(C(=O)N=C1N)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OCC(CO)O)O)O
OP1(=O)OP(=O)(OP(=O)(O1)O)O
C1=CC=C(C=C1)C(=O)CC=CC(=O)C(=O)O
CC(C(CC(=O)O)C(=O)O)(C(=O)O)O
C1=CC(=C(C(=C1)O)O)C(=O)OP(=O)(O)OCC2C(C(C(O2)N3C=NC4=C3N=CN=C4N)O)O
CC(C(=O)O)C(CC(=O)O)(C(=O)O)O
CC(CCOP(=O)(O)OP(=O)(O)O)(CC(=O)O)O
C(C(C(C(=O)COP(=O)(O)O)O)O)C(=O)O
CCCCCCCCCCCCCCCC(C(COP(=O)(O)O)N)O
C(CC(=O)C(=O)O)C=O
C(C(=O)C(=O)O)(C(=O)O)O
C(C(C(=O)O)O)C(=O)O
CCC=O
CC(=O)OCCC(C(=O)O)N
C(C(=O)O)OP(=O)(O)O
C1C(N(C2=C(N1)NC(=NC2=O)N)C=N)CNC3=CC=C(C=C3)C(=O)NC(CCC(=O)O)C(=O)O
[SeH2]
C1CC1(C(=O)O)N
C(#N)O
C1=CC(=CC=C1C=O)[N+](=O)[O-]
C1=CC(=O)OC1CC(=O)O
C1=CC(OC1=O)(CC(=O)O)C(=O)O
[O-][As]([O-])[O-]
C(C(=O)O)P(=O)(O)O
C1=CC(=C(C=C1CC(=O)O)O)O
C(C(=CO)C=CC(=O)C(=O)O)C(=O)O
C(C(C=CC(=O)C(=O)O)C(=O)O)C(=O)O
C(C=CC=C(C(=O)O)O)C(=O)O
C(CC(=O)O)C(CC(=O)C(=O)O)O
C[N+]1(CCCC1C(=O)[O-])C
C[N+]1(CCCC1C(=O)O)C
C(CC(C(=O)O)NC(=O)CCC(=O)O)C=O
CN1CCCC1C(=O)O
C(CC(=O)C(=O)O)CN=C(N)N
C(CC=O)CN=C(N)N
C(C(C(C(=O)CO)O)O)C(=O)O
CSCCC(=O)C(=O)COP(=O)(O)O
CSCCC(=O)C(=CO)O
CSCCC(=O)O
C(CCC(=O)O)CCN
C1=CC=C2C(=C1)C3=CC=CC=C3O2
C1=CC=C(C(=C1)C2=C(C(=CC=C2)O)O)O
C1=CC=C(C=C1)C(=CC=CC(=O)C(=O)O)O
C(CCC(=O)N)CC(CCS)SC(=O)CCC(=O)O
C(CN(C=O)O)CP(=O)(O)O
CC1=C(C(CCC1)(C)C)C=CC(=CC=CC(=CC=CC=C(C)C=CC=C(C)C=CC2=C(CCCC2(C)C)C)C)C
C(C1C(C(C(C(O1)OC2C(C(C(C(C2O)O)O)O)O)[NH3+])O)O)O
C(C1C(C(C(C(O1)OC2C(C(C(C(C2O)O)O)O)O)N)O)O)O
CC(=O)NC1C(C(C(OC1OC2C(C(C(C(C2O)O)O)O)O)CO)O)O
CC(=O)NC(CS)C(=O)NC1C(C(C(OC1OC2C(C(C(C(C2O)O)O)O)O)CO)O)O
CC(=O)NC(CS)C(=O)O
CN1C(CCC1=O)C2=C[N+](=CC=C2)C
C1=CC=C2C(=C1)C=CC(O2)(C(=O)O)O
C1=CC=C(C(=C1)C=CC(=O)C(=O)O)O
CN(CC(=O)O)C(=N)N
CN(CC(=O)O)C(=NP(=O)(O)O)N
CN1CC(=O)N=C1N
C[N+](C)(C)CC=CC(=O)[O-]
C[N+](C)(C)CC=CC(=O)O
C1=CN(C(=O)N=C1N)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O
C(C(C(=O)O)N)S
C(C(C(=O)O)N)SSCC(C(=O)O)N
C1=CN(C(=O)N=C1N)C2C(C(C(O2)CO)O)O
C1=C(NC(=O)N=C1)N
C(C(C(=O)O)O)C(=O)C(=O)O
C(C1C(C(C(C(=O)O1)O)O)O)OP(=O)(O)O
CC(C(=O)NC(C)C(=O)O)N
CC(C(=O)O)N
C(C(C(C(C(=O)CO)O)O)O)OP(=O)(O)O
C(C(C(C(C(C(=O)O)O)O)O)O)O
C1=C(NC=N1)C(C(COP(=O)(O)O)O)O
C(C(C(C(=O)O)O)O)(C(C(=O)O)O)O
C(C(C1C(C(C(=O)O1)O)O)O)O
C(C1C(C(C(C(O1)O)N)O)O)OP(=O)(O)O
C1(C(C(OC(C1O)O)C(=O)O)O)O
C(CC(=O)O)C(C(=O)O)N
CC(C(=O)O)O
C1CC(NC1)C(=O)O
C(C(C(C(=O)COP(=O)(O)O)O)O)O
C(C(C(C(C(C(=O)CO)O)O)O)O)OP(=O)(O)O
C(C(C(=O)O)N)O
C(C(C(C(=O)CO)O)O)O
C1C(C(OC1N2C=NC3=C2N=CN=C3N)COP(=O)(O)OP(=O)(O)O)O
C1C(C(OC1N2C=NC3=C2N=CN=C3N)COP(=O)(O)O)O
C1C(C(OC1N2C=NC3=C2N=CN=C3N)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O
C1C(C(OC1N2C=CC(=NC2=O)N)COP(=O)(O)OP(=O)(O)O)O
C1C(C(OC1N2C=CC(=NC2=O)N)COP(=O)(O)O)O
C1C(C(OC1N2C=CC(=NC2=O)N)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O
C(C(C(C(CO)O)O)O)C(=O)O
CN(CCC(CC(=O)NC1C=CC(OC1C(=O)O)N2C=CC(=O)NC2=O)N)C(=N)N
C1C(C(C(=O)CC1(C(=O)O)O)O)O
CCCCCCCCCCCCCCCC(=O)C(CO)N
C1CC(N=C(C1)C(=O)O)C(=O)O
C1C(C(OC1OP(=O)(O)O)CO)O
C1C(C(OC1O)COP(=O)(O)O)O
C1C(C(OC1N2C=NC3=C2N=CN=C3N)CO)O
C1C(C(OC1N2C=CC(=NC2=O)N)CO)O
C1C(C(OC1N2C=NC3=C2NC(=NC3=O)N)CO)O
C1C(C(OC1N2C=NC3=C2NC=NC3=O)CO)O
C1C(C(OC1N2C=CC(=O)NC2=O)CO)O
CC(=O)C(C(COP(=O)(O)O)O)O
CC1C(NC(=O)N1)CCCCCC(=O)O
C1C(C(OC1N2C=NC3=C2NC(=NC3=O)N)COP(=O)(O)OP(=O)(O)O)O
